juvtotal1,juvtotal,juvtotal2,area,juvbranch,juvmass,juvencrust,SANDRUBBLE,CCA,MACROALGAE,herbivores,urchins,complexity,island,site,habitat,habitatpat,habitatgra,habitatcar
0,0,0,0.25,0,0,0,0,0,76,313.87,0,2.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,2,0,40,108.72,0,2,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,5.33,0,64,510.55,0,1.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,2,0,64,500.42,0,2.5,Praslin,PBSA,pat,1,0,0
0.5,2,5,0.25,0,0,5,10,0,64,512.37,11,2.5,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,4,0,69.33,872.27,0,2,Praslin,PBSA,pat,1,0,0
1,4,10,0.25,5,0,5,0,0,98,949.81,9,2,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,6.67,0,58.27,477.87,19,2.5,Praslin,PBSA,pat,1,0,0
0,0,0,0.25,0,0,0,36,0,58.4,907.35,0,2,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,22.4,1.6,68.8,197.1,0,3,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,31.42,0,67.58,457.47,0,3.5,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,37.6,0,28,196.01,0,2,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,22.4,0,66.4,322.61,0,2,Praslin,PC,gra,0,1,0
0.2,1,2,0.25,0,0,2,10.4,0,36.8,221.52,0,3.5,Praslin,PC,gra,0,1,0
0.2,1,2,0.25,0,0,2,7.2,0,56,420.59,0,2.5,Praslin,PC,gra,0,1,0
1.333333333,5,13,0.25,0,0,13,24,0,14.67,205.91,0,3,Praslin,PC,gra,0,1,0
0,0,0,0.25,0,0,0,27,0,28,121.41,0,2,Praslin,PC,car,0,0,1
0.666666667,3,7,0.25,0,3,3,17.33,0,53.33,279.15,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,24,0,32,538.29,1,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,25,0,46,531.88,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,24.8,0,52.8,186.57,4,2.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,34.67,0,48.67,254.54,0,1.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,43.2,0,19.2,960.92,1,1.5,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,22.67,0,50.67,708.6,0,2,Praslin,PC,car,0,0,1
0,0,0,0.25,0,0,0,12,20,26,156.58,2,2,Mahe,ME,car,0,0,1
1,4,10,0.25,5,5,0,0,0,54,247.67,7,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,2.67,12,14.67,330.36,4,2.5,Mahe,ME,car,0,0,1
1,4,10,0.25,0,10,0,0,8,44,172.39,0,1.5,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,0,10,58,709.46,0,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,2,12,6,437.77,0,3,Mahe,ME,car,0,0,1
0.5,2,5,0.25,5,0,0,0,14,66,96.75,10,2,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,0,2,58,23.21,0,1.5,Mahe,ME,car,0,0,1
0,0,0,0.25,0,0,0,8,0,62,154.76,0,2.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,0,0,36,45.49,0,2.5,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,30,0,4,333,0,2,Mahe,ME,gra,0,1,0
0,0,0,0.25,0,0,0,40,14,42,301.34,0,1.5,Mahe,ME,gra,0,1,0
