year,area,site,acropora,favites,porites,total
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,2
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,2
2008,0.1089,MEC,0,0,0,2
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,2,0,0,4
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,4,0,0,4
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,1,0,0,1
2008,0.1089,MEC,2,0,0,2
2008,0.1089,MEC,3,0,0,3
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,2,0,0,2
2008,0.1089,MEC,0,0,2,2
2008,0.1089,MEC,6,0,6,12
2008,0.1089,MEC,5,0,0,5
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,1,1
2008,0.1089,MEC,0,1,0,2
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,1,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,1,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,2,0,0,2
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,1
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEC,0,0,0,0
2008,0.1089,MEG,0,0,0,0
2008,0.1089,MEG,1,0,0,1
